ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_man,time_vis,vitoria_man,tecnico_man,colocacao_man,valor_equipe_titular_man,idade_media_titular_man,flag_jogo_casa_man,diff_idade_media_adv_man,diff_valor_equipe_adv_man,diff_colocacao_adv_man,med_publico_3_man,med_publico_6_man,med_gols_com_3_man,med_gols_com_6_man,med_perc_gols_com_3_man,med_perc_gols_com_6_man,med_gols_sof_3_man,med_gols_sof_6_man,med_perc_gols_sof_3_man,med_perc_gols_sof_6_man,med_faltas_com_3_man,med_faltas_com_6_man,med_perc_faltas_com_3_man,med_perc_faltas_com_6_man,med_faltas_sof_3_man,med_faltas_sof_6_man,med_perc_faltas_sof_3_man,med_perc_faltas_sof_6_man,med_chutes_com_3_man,med_chutes_com_6_man,med_perc_chutes_com_3_man,med_perc_chutes_com_6_man,med_chutes_sof_3_man,med_chutes_sof_6_man,med_perc_chutes_sof_3_man,med_perc_chutes_sof_6_man,med_chutes_bola_parada_com_3_man,med_chutes_bola_parada_com_6_man,med_perc_chutes_bola_parada_com_3_man,med_perc_chutes_bola_parada_com_6_man,med_chutes_bola_parada_sof_3_man,med_chutes_bola_parada_sof_6_man,med_perc_chutes_bola_parada_sof_3_man,med_perc_chutes_bola_parada_sof_6_man,med_defesas_com_3_man,med_defesas_com_6_man,med_perc_defesas_com_3_man,med_perc_defesas_com_6_man,med_defesas_sof_3_man,med_defesas_sof_6_man,med_perc_defesas_sof_3_man,med_perc_defesas_sof_6_man,med_impedimentos_com_3_man,med_impedimentos_com_6_man,med_perc_impedimentos_com_3_man,med_perc_impedimentos_com_6_man,med_impedimentos_sof_3_man,med_impedimentos_sof_6_man,med_perc_impedimentos_sof_3_man,med_perc_impedimentos_sof_6_man,diff_colocacao_3_man,diff_colocacao_6_man,vitoria_casa_3_man,vitoria_fora_3_man,empate_casa_3_man,empate_fora_3_man,derrota_casa_3_man,derrota_fora_3_man,vitoria_casa_6_man,vitoria_fora_6_man,empate_casa_6_man,empate_fora_6_man,derrota_casa_6_man,derrota_fora_6_man,streak_sem_sofrer_gols_man,streak_vitorias_man,tecnico_vis,colocacao_vis,valor_equipe_titular_vis,idade_media_titular_vis,flag_jogo_casa_vis,med_publico_3_vis,med_publico_6_vis,med_gols_com_3_vis,med_gols_com_6_vis,med_perc_gols_com_3_vis,med_perc_gols_com_6_vis,med_gols_sof_3_vis,med_gols_sof_6_vis,med_perc_gols_sof_3_vis,med_perc_gols_sof_6_vis,med_faltas_com_3_vis,med_faltas_com_6_vis,med_perc_faltas_com_3_vis,med_perc_faltas_com_6_vis,med_faltas_sof_3_vis,med_faltas_sof_6_vis,med_perc_faltas_sof_3_vis,med_perc_faltas_sof_6_vis,med_chutes_com_3_vis,med_chutes_com_6_vis,med_perc_chutes_com_3_vis,med_perc_chutes_com_6_vis,med_chutes_sof_3_vis,med_chutes_sof_6_vis,med_perc_chutes_sof_3_vis,med_perc_chutes_sof_6_vis,med_chutes_bola_parada_com_3_vis,med_chutes_bola_parada_com_6_vis,med_perc_chutes_bola_parada_com_3_vis,med_perc_chutes_bola_parada_com_6_vis,med_chutes_bola_parada_sof_3_vis,med_chutes_bola_parada_sof_6_vis,med_perc_chutes_bola_parada_sof_3_vis,med_perc_chutes_bola_parada_sof_6_vis,med_defesas_com_3_vis,med_defesas_com_6_vis,med_perc_defesas_com_3_vis,med_perc_defesas_com_6_vis,med_defesas_sof_3_vis,med_defesas_sof_6_vis,med_perc_defesas_sof_3_vis,med_perc_defesas_sof_6_vis,med_impedimentos_com_3_vis,med_impedimentos_com_6_vis,med_perc_impedimentos_com_3_vis,med_perc_impedimentos_com_6_vis,med_impedimentos_sof_3_vis,med_impedimentos_sof_6_vis,med_perc_impedimentos_sof_3_vis,med_perc_impedimentos_sof_6_vis,diff_colocacao_3_vis,diff_colocacao_6_vis,vitoria_casa_3_vis,vitoria_fora_3_vis,empate_casa_3_vis,empate_fora_3_vis,derrota_casa_3_vis,derrota_fora_3_vis,vitoria_casa_6_vis,vitoria_fora_6_vis,empate_casa_6_vis,empate_fora_6_vis,derrota_casa_6_vis,derrota_fora_6_vis,streak_sem_sofrer_gols_vis,streak_vitorias_vis,tecnico_man_enc,tecnico_vis_enc,time_man_enc,time_vis_enc
2018,2018-04-21,2,Arena Fonte Nova,Claudio Francisco Lima e Silva,15588.0,55000.0,EC Bahia,Santos,1.0,Guto Ferreira,17.0,12100000.0,26.9,1,1.6999999999999993,-14800000.0,14.0,28892.0,27686.25,1.5,1.3333333333333335,0.8055555555555554,0.7916666666666666,0.5,0.5,0.1944444444444445,0.20833333333333331,16.055555555555557,16.37777777777778,0.4981088515571275,0.49072516723378795,15.666666666666666,16.688888888888886,0.5018911484428725,0.509274832766212,14.555555555555555,16.533333333333335,0.5831154684095861,0.6365969769550333,11.0,9.733333333333333,0.416884531590414,0.3634030230449668,14.666666666666666,15.933333333333334,0.49942386831275715,0.5073955906446327,15.055555555555555,15.555555555555555,0.5005761316872427,0.49260440935536726,3.5,3.5777777777777775,0.4104938271604938,0.4482098765432099,2.555555555555556,3.0,0.5895061728395061,0.5517901234567901,1.777777777777778,1.6,0.42592592592592593,0.3377777777777778,2.6666666666666665,3.511111111111111,0.5740740740740741,0.6622222222222224,0.0,0.33333333333333326,1.0,0.0,0.5,0.0,0.5,0.0,1.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Jair Ventura,3.0,26900000.0,25.2,0,11173.0,5586.5,2.0,2.1666666666666665,0.48888888888888893,0.5063492063492064,1.6666666666666667,1.8333333333333333,0.5111111111111111,0.4936507936507937,14.333333333333334,17.0,0.4754293463970884,0.47440624343409826,15.333333333333334,18.666666666666668,0.5245706536029116,0.5255937565659018,16.0,13.0,0.568925518925519,0.5258709591062533,12.0,12.666666666666666,0.43107448107448104,0.4741290408937468,15.0,18.166666666666668,0.528747763043179,0.5270664215397108,14.0,16.666666666666668,0.471252236956821,0.4729335784602891,3.3333333333333335,2.8333333333333335,0.6285714285714287,0.6198412698412699,2.3333333333333335,1.8333333333333333,0.37142857142857144,0.38015873015873014,2.0,1.6666666666666667,0.44444444444444436,0.5055555555555555,1.6666666666666667,1.8333333333333333,0.5555555555555555,0.49444444444444446,-14.0,-10.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.2,0.024390243902439025,0.21875,0.45161290322580644
2018,2018-04-22,2,Estádio Jornalista Mário Filho,Flavio Rodrigues de Souza,10018.0,82238.0,Fluminense,Cruzeiro,1.0,Abel Braga,14.0,10550000.0,25.4,1,-3.700000000000003,-13450000.0,-1.0,19044.5,20427.583333333336,0.8333333333333333,1.1666666666666665,0.8333333333333333,0.8680555555555556,0.3333333333333333,0.3333333333333333,0.16666666666666663,0.13194444444444445,11.055555555555555,12.488888888888889,0.4118773946360153,0.42056981534295507,14.833333333333334,16.266666666666666,0.5881226053639845,0.5794301846570449,14.944444444444445,14.644444444444444,0.5715073771100935,0.5529151569049702,11.833333333333334,12.777777777777777,0.4284926228899064,0.4470848430950299,13.666666666666666,15.266666666666667,0.5759300336836131,0.5692630723080411,10.666666666666666,12.133333333333333,0.42406996631638694,0.430736927691959,3.2777777777777777,3.022222222222222,0.4347222222222221,0.46455026455026455,4.0,3.6222222222222222,0.565277777777778,0.5354497354497354,3.2222222222222223,2.8444444444444446,0.6731481481481482,0.7033333333333334,1.6111111111111112,1.4222222222222223,0.326851851851852,0.2966666666666667,8.333333333333334,9.0,1.5,0.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Mano Menezes,15.0,24000000.0,29.1,0,36632.666666666664,33078.0,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.6666666666666666,16.0,14.5,0.560931899641577,0.5378318502039303,12.666666666666666,12.833333333333334,0.4390681003584229,0.4621681497960697,17.333333333333332,15.666666666666666,0.6091269841269841,0.6451968790736907,12.0,9.833333333333334,0.39087301587301587,0.35480312092630933,12.333333333333334,12.0,0.4436781609195403,0.45419079307464066,15.333333333333334,13.666666666666666,0.5563218390804597,0.5458092069253594,4.0,3.3333333333333335,0.5357142857142857,0.5095238095238096,3.6666666666666665,3.0,0.46428571428571425,0.4904761904761905,2.0,1.6666666666666667,0.5238095238095238,0.45634920634920634,1.6666666666666667,2.1666666666666665,0.4761904761904762,0.5436507936507936,3.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.28888888888888886,0.3125,0.20000000000000004
2018,2018-04-22,2,Estádio Durival Britto e Silva,Péricles Bassols Pegado Cortez,16772.0,20083.0,Paraná,Corinthians,-1.0,Rogério Micale,16.0,3730000.0,24.2,1,-3.8000000000000007,-27770000.0,11.0,13329.5,11648.833333333332,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,2.5,2.75,0.8333333333333333,0.8333333333333333,17.61111111111111,16.91111111111111,0.5970531890917287,0.55803069804084,12.11111111111111,13.666666666666666,0.40294681090827134,0.44196930195916,3.944444444444444,2.8666666666666667,0.4718013468013468,0.4216329966329967,4.777777777777778,4.2444444444444445,0.5281986531986532,0.5783670033670033,15.055555555555555,16.133333333333333,0.44968734968734964,0.4752778383812866,18.38888888888889,17.666666666666668,0.5503126503126502,0.5247221616187133,3.7777777777777777,3.7777777777777777,0.5006172839506173,0.5419079685746352,3.1666666666666665,3.111111111111111,0.4993827160493827,0.45809203142536475,0.7777777777777778,0.7555555555555555,0.19444444444444445,0.19259259259259262,2.944444444444444,2.466666666666667,0.8055555555555556,0.8074074074074074,-2.666666666666667,-2.666666666666667,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.5,0.0,0.0,0.0,Fábio Carille,5.0,31500000.0,28.0,0,38139.666666666664,39712.833333333336,2.0,1.6666666666666667,0.6666666666666669,0.65,1.6666666666666667,1.1666666666666667,0.3333333333333334,0.35000000000000003,13.333333333333334,14.333333333333334,0.5332383665716999,0.5193073553288606,10.333333333333334,12.666666666666666,0.4667616334283002,0.4806926446711393,18.666666666666668,16.5,0.560026574732457,0.5086390677161469,15.0,15.333333333333334,0.43997342526754296,0.4913609322838532,9.333333333333334,11.666666666666666,0.4482431149097816,0.4630104463437797,13.333333333333334,14.333333333333334,0.5517568850902185,0.5369895536562204,3.6666666666666665,3.5,0.45396825396825397,0.45615079365079364,4.0,4.166666666666667,0.546031746031746,0.5438492063492064,1.6666666666666667,1.5,0.7222222222222222,0.7666666666666666,0.6666666666666666,0.5,0.2777777777777778,0.2333333333333333,-9.0,-8.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4074074074074074,-0.15789473684210525,0.41379310344827586
2018,2018-04-22,2,Estádio Municipal Paulo Machado de Carvalho,Marcelo de Lima Henrique,25504.0,37730.0,Palmeiras,Internacional,1.0,Roger Machado,11.0,38750000.0,29.6,1,3.400000000000002,15350000.0,7.0,28666.5,30582.833333333332,1.0,1.1666666666666665,0.8888888888888888,0.8819444444444444,0.3333333333333333,0.3333333333333333,0.11111111111111115,0.11805555555555554,12.222222222222223,13.216666666666667,0.44499927871544775,0.43454235547428194,14.777777777777777,17.3,0.5550007212845522,0.5654576445257181,19.61111111111111,16.2,0.7019281725164078,0.6359239407474702,8.666666666666666,9.35,0.2980718274835921,0.36407605925252984,14.38888888888889,17.083333333333332,0.5613855186910215,0.570173534071329,11.61111111111111,12.783333333333333,0.43861448130897845,0.42982646592867096,4.722222222222222,4.3,0.45922364672364674,0.48888888888888893,4.777777777777778,4.083333333333333,0.5407763532763533,0.5111111111111112,3.944444444444444,3.2666666666666666,0.5995370370370371,0.5875992063492064,2.555555555555556,2.1333333333333333,0.4004629629629629,0.41240079365079363,8.0,5.333333333333333,1.5,0.0,0.0,0.0,0.5,0.0,2.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,Odair Hellmann,4.0,23400000.0,26.2,0,27944.333333333332,26582.666666666668,1.6666666666666667,1.3333333333333333,0.4222222222222222,0.35000000000000003,1.6666666666666667,1.6666666666666667,0.5777777777777776,0.65,16.333333333333332,15.833333333333334,0.5935099846390169,0.5998319153964315,11.333333333333334,10.666666666666666,0.4064900153609831,0.40016808460356845,15.333333333333334,16.166666666666668,0.6319212188777407,0.6351123761481082,9.0,9.333333333333334,0.3680787811222593,0.36488762385189166,11.0,10.166666666666666,0.4104700854700855,0.4017567818654775,15.666666666666666,15.0,0.5895299145299144,0.5982432181345225,1.6666666666666667,1.6666666666666667,0.27619047619047615,0.30476190476190473,3.6666666666666665,3.5,0.7238095238095238,0.6952380952380953,1.6666666666666667,1.3333333333333333,0.2777777777777778,0.3444444444444445,1.6666666666666667,1.5,0.7222222222222224,0.6555555555555556,-9.0,-8.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.21212121212121213,0.6190476190476191,0.5652173913043478,0.53125
2018,2018-04-22,2,Estádio Raimundo Sampaio,Grazianni Maciel Rocha,10423.0,23018.0,Atlético-MG,EC Vitória,1.0,Thiago Larghi,13.0,22350000.0,28.1,1,2.200000000000003,12770000.0,3.0,22908.666666666668,20899.25,1.5,1.5833333333333335,0.7222222222222222,0.7222222222222222,0.8333333333333333,0.8333333333333333,0.2777777777777779,0.2777777777777778,13.833333333333334,16.37777777777778,0.5702202504985323,0.5834649353456514,10.833333333333334,11.68888888888889,0.42977974950146763,0.41653506465434864,10.666666666666666,12.71111111111111,0.5443813131313131,0.5573142413142413,8.555555555555555,9.911111111111111,0.45561868686868695,0.44268575868575866,10.222222222222223,11.333333333333334,0.4354246487867177,0.4251140940796113,12.61111111111111,15.31111111111111,0.5645753512132822,0.5748859059203887,1.9444444444444444,2.111111111111111,0.4277777777777778,0.35428571428571426,2.6666666666666665,3.288888888888889,0.5722222222222222,0.6457142857142858,2.444444444444444,2.6,0.6638888888888888,0.7362962962962963,1.0,0.888888888888889,0.3361111111111111,0.2637037037037037,1.0,-2.0,1.5,0.0,0.0,0.0,0.5,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Vágner Mancini,10.0,9580000.0,25.9,0,11510.333333333334,12064.333333333334,1.0,0.8333333333333334,0.41666666666666663,0.26666666666666666,1.3333333333333333,1.3333333333333333,0.5833333333333333,0.7333333333333334,15.333333333333334,14.666666666666666,0.3927927927927928,0.3898602389295586,23.666666666666668,22.0,0.6072072072072072,0.6101397610704414,3.3333333333333335,3.6666666666666665,0.44814814814814813,0.5018518518518519,4.666666666666667,3.8333333333333335,0.5518518518518518,0.4981481481481482,25.666666666666668,23.333333333333332,0.6166666666666667,0.6164977141721328,16.0,15.166666666666666,0.38333333333333336,0.3835022858278672,3.6666666666666665,2.6666666666666665,0.4238095238095238,0.3674603174603175,2.3333333333333335,3.0,0.576190476190476,0.6325396825396825,0.6666666666666666,0.5,0.2,0.22499999999999998,2.0,1.3333333333333333,0.8,0.775,-7.0,-7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.17647058823529413,0.5466666666666666,0.0
2018,2018-04-22,2,Arena Condá,Luiz Flávio de Oliveira,8675.0,22600.0,Chapecoense,Vasco da Gama,0.0,Gilson Kleina,20.0,15350000.0,28.7,1,-0.40000000000000213,2300000.0,14.0,2945.333333333333,2702.416666666667,0.3333333333333333,0.6666666666666666,0.06944444444444442,0.16666666666666666,2.0,2.0833333333333335,0.9305555555555556,0.8333333333333333,16.916666666666664,16.516666666666666,0.44895767860884145,0.49471536507437675,21.333333333333336,17.5,0.5510423213911586,0.5052846349256233,10.833333333333332,11.3,0.3946706887883359,0.40712344535873946,18.166666666666664,17.766666666666666,0.6053293112116642,0.5928765546412604,20.083333333333336,16.21666666666667,0.5447831978319783,0.505453066149852,16.166666666666664,15.166666666666668,0.4552168021680215,0.49454693385014803,1.9166666666666667,3.0,0.22222222222222218,0.43319444444444444,3.583333333333333,2.9333333333333336,0.7777777777777777,0.5668055555555556,1.25,1.6333333333333333,1.0,0.7343749999999999,0.0,1.25,0.0,0.26562499999999994,-1.0,-1.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.0,1.0,0.0,4.5,0.5,0.0,0.0,Zé Ricardo,6.0,13050000.0,29.1,0,25620.333333333332,21733.5,3.0,1.8333333333333333,0.7500000000000002,0.7,1.0,0.8333333333333334,0.25,0.30000000000000004,12.333333333333334,15.833333333333334,0.5711323763955343,0.5507350335136713,9.666666666666666,13.5,0.42886762360446556,0.4492649664863287,13.0,14.0,0.5011310482324975,0.5439508827189986,13.0,11.666666666666666,0.4988689517675026,0.4560491172810013,8.666666666666666,13.0,0.4049707602339181,0.43939615452773356,12.0,15.5,0.5950292397660818,0.5606038454722665,4.0,3.3333333333333335,0.6296296296296297,0.5052910052910052,3.0,2.8333333333333335,0.3703703703703704,0.4947089947089947,1.3333333333333333,1.3333333333333333,0.3611111111111111,0.5416666666666666,1.3333333333333333,1.0,0.6388888888888888,0.4583333333333333,-11.0,-13.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.23076923076923078,0.14285714285714285,-0.2549019607843137,0.08
2018,2018-04-22,2,Estádio Governador Plácido Castelo,Paulo Roberto Alves Júnior,30186.0,60326.0,Ceará SC,São Paulo,0.0,Marcelo Chamusca,18.0,6930000.0,28.1,1,0.6000000000000014,-19070000.0,10.0,21966.666666666664,24669.666666666664,0.8333333333333334,0.5833333333333334,0.3777777777777778,0.35555555555555557,0.5,0.6666666666666666,0.6222222222222223,0.6444444444444444,12.944444444444445,14.466666666666667,0.49844368986983595,0.46772627704834446,13.777777777777777,17.4,0.5015563101301641,0.5322737229516556,19.27777777777778,16.711111111111112,0.6032892771804063,0.5455471328453654,12.555555555555555,13.71111111111111,0.39671072281959374,0.45445286715463457,13.0,16.688888888888886,0.48859334716720115,0.5268356965189132,12.944444444444445,14.177777777777777,0.5114066528327988,0.4731643034810868,2.944444444444444,3.0444444444444443,0.4236111111111111,0.45541446208112873,3.7777777777777777,3.488888888888889,0.5763888888888888,0.5445855379188712,1.8333333333333333,1.2444444444444445,0.75,0.65,1.0,0.7111111111111111,0.25,0.35,2.0,3.6666666666666665,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,Diego Aguirre,8.0,26000000.0,27.5,0,37744.0,45786.0,1.6666666666666667,0.8333333333333334,0.5555555555555556,0.41666666666666663,1.3333333333333333,1.0,0.4444444444444445,0.5833333333333333,15.666666666666666,14.833333333333334,0.5333333333333332,0.526046176046176,13.333333333333334,13.333333333333334,0.4666666666666666,0.4739538239538239,16.333333333333332,16.0,0.700793650793651,0.6444021304366132,6.666666666666667,8.833333333333334,0.2992063492063492,0.3555978695633868,13.0,13.0,0.48334185848252353,0.49243602436119555,14.333333333333334,13.5,0.5166581415174766,0.5075639756388045,1.3333333333333333,1.0,0.21428571428571433,0.13492063492063497,5.0,5.333333333333333,0.7857142857142856,0.865079365079365,1.3333333333333333,4.166666666666667,0.8333333333333333,0.8825396825396826,0.3333333333333333,0.5,0.16666666666666666,0.11746031746031753,-2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,-0.3333333333333333,0.3548387096774194,0.23333333333333336,0.4909090909090909
2018,2018-04-22,2,Estádio Jornalista Mário Filho,Leandro Bizzio Marinho,52106.0,78838.0,Flamengo,América-MG,1.0,Maurício Barbieri,9.0,45700000.0,26.3,1,-1.3000000000000007,38400000.0,7.0,34386.333333333336,47908.583333333336,0.6666666666666667,0.8333333333333334,0.5,0.55,1.3333333333333335,1.0,0.5,0.44999999999999996,11.916666666666668,12.55,0.4208899957832596,0.4354812668795117,16.666666666666664,16.475,0.5791100042167405,0.5645187331204884,13.0,13.375,0.6021825396825395,0.6135119047619048,9.416666666666668,8.925,0.3978174603174603,0.38648809523809535,16.25,16.25,0.5767045454545454,0.5656262025012024,11.75,12.325,0.4232954545454546,0.43437379749879756,4.333333333333333,3.075,0.4916666666666666,0.36750000000000005,4.0,4.25,0.5083333333333334,0.6325000000000001,2.25,2.125,0.5625,0.46726190476190477,1.75,2.45,0.4375000000000001,0.5327380952380953,2.0,3.0,1.0,0.0,0.5,0.5,1.0,0.0,1.5,0.0,3.0,0.5,1.0,0.0,0.0,0.0,Enderson Moreira,2.0,7300000.0,27.6,0,4799.666666666667,4720.0,0.6666666666666666,0.8333333333333334,0.33333333333333326,0.31111111111111106,1.0,1.5,0.6666666666666666,0.6888888888888888,12.333333333333334,13.833333333333334,0.42482078853046595,0.4990770609318996,16.0,13.5,0.5751792114695341,0.5009229390681004,12.333333333333334,12.666666666666666,0.446969696969697,0.4820402298850574,15.333333333333334,13.666666666666666,0.5530303030303031,0.5179597701149425,15.333333333333334,12.833333333333334,0.5663408276311502,0.4922613229064841,12.333333333333334,13.666666666666666,0.4336591723688497,0.5077386770935157,2.6666666666666665,2.8333333333333335,0.39153439153439146,0.44576719576719576,4.666666666666667,4.0,0.6084656084656085,0.5542328042328042,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.46527777777777773,2.0,2.3333333333333335,0.6666666666666669,0.5347222222222222,-17.0,-18.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.45454545454545453,0.21052631578947367,0.5584415584415584,0.23529411764705882
2018,2018-04-23,2,Arena do Grêmio,Raphael Claus,23894.0,60540.0,Grêmio,Atlético-PR,0.0,Renato Gaúcho,7.0,59000000.0,28.5,1,-0.3999999999999986,41900000.0,6.0,30169.166666666664,33714.666666666664,1.6666666666666665,1.5833333333333335,1.0,0.8611111111111109,0.0,0.3333333333333333,0.0,0.1388888888888889,15.75,12.216666666666667,0.4986054766734279,0.45789170074159935,15.833333333333334,14.65,0.501394523326572,0.5421082992584006,9.166666666666668,10.45,0.3845238095238094,0.40979527936321414,15.583333333333332,15.366666666666667,0.6154761904761905,0.5902047206367859,15.666666666666666,13.85,0.5087251828631139,0.5360983397190293,15.166666666666668,11.85,0.49127481713688603,0.46390166028097063,3.083333333333333,3.45,0.5952380952380953,0.6182936507936508,2.25,2.166666666666667,0.4047619047619048,0.38170634920634916,2.5,2.283333333333333,0.6875,0.5641666666666666,1.25,1.1833333333333333,0.3125,0.4358333333333333,3.5,4.0,2.5,0.5,0.0,0.0,0.0,0.0,5.0,0.5,0.0,0.0,0.5,0.0,2.0,1.0,Fernando Diniz,1.0,17100000.0,28.9,0,19788.0,20694.666666666668,1.3333333333333333,1.8333333333333333,0.5555555555555557,0.6111111111111112,1.0,1.3333333333333333,0.4444444444444445,0.38888888888888884,13.333333333333334,14.5,0.47126436781609193,0.4743513895390163,15.0,15.833333333333334,0.528735632183908,0.5256486104609838,20.333333333333332,16.333333333333332,0.6372023809523809,0.5422696592720956,11.333333333333334,13.666666666666666,0.362797619047619,0.45773034072790447,14.0,15.0,0.5238095238095238,0.5218728639781272,12.666666666666666,13.833333333333334,0.4761904761904762,0.47812713602187285,3.6666666666666665,3.6666666666666665,0.4357864357864358,0.45122655122655125,4.333333333333333,3.6666666666666665,0.5642135642135643,0.5487734487734488,2.6666666666666665,1.8333333333333333,0.6666666666666666,0.5333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.4666666666666666,-6.0,-6.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.4716981132075472,0.2,0.42424242424242425,0.34285714285714286
2018,2018-04-24,2,Estádio Adelmar da Costa Carvalho,Rafael Traci,7083.0,35000.0,Sport Recife,Botafogo,0.0,Nelsinho Baptista,19.0,12450000.0,26.8,1,0.40000000000000213,-150000.0,7.0,7705.666666666666,6487.833333333333,0.8333333333333333,1.1666666666666667,0.5,0.6233333333333333,1.1666666666666665,1.0833333333333333,0.4999999999999999,0.3766666666666667,15.666666666666666,14.916666666666668,0.5501486640599542,0.5309463645673322,12.75,13.016666666666666,0.44985133594004556,0.46905363543266765,16.416666666666664,16.2,0.5578078078078079,0.5395202307570729,14.416666666666668,14.216666666666667,0.4421921921921922,0.4604797692429272,12.583333333333332,12.383333333333333,0.462160049007754,0.47470182919293047,14.75,13.816666666666666,0.5378399509922458,0.5252981708070696,4.416666666666666,3.65,0.4437957875457875,0.5075320512820513,5.5,3.916666666666667,0.5562042124542126,0.49246794871794863,0.41666666666666663,0.55,1.0,0.5833333333333333,0.0,0.35,0.0,0.41666666666666663,-1.0,-0.5,0.5,0.0,2.0,0.0,0.0,0.5,2.0,0.0,2.5,0.0,1.0,0.5,0.0,0.0,Alberto Valentim,12.0,12600000.0,26.4,0,38224.333333333336,39063.0,1.6666666666666667,2.3333333333333335,0.6111111111111113,0.7305555555555556,1.0,0.8333333333333334,0.388888888888889,0.26944444444444443,15.333333333333334,15.166666666666666,0.5830362448009506,0.5800271442428305,11.333333333333334,11.166666666666666,0.4169637551990493,0.4199728557571695,15.0,14.5,0.5411140583554376,0.5408775567446232,13.0,12.5,0.4588859416445623,0.4591224432553768,11.0,10.5,0.41717171717171714,0.4174626701800615,14.666666666666666,14.333333333333334,0.5828282828282828,0.5825373298199384,3.6666666666666665,4.333333333333333,0.4702380952380952,0.5239598364598365,4.0,4.0,0.5297619047619048,0.4760401635401636,1.0,0.6666666666666666,0.3055555555555555,0.19444444444444442,2.3333333333333335,2.5,0.6944444444444443,0.8055555555555555,11.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.018867924528301886
